,2026-03-02,2026-02-23,2026-02-16,2026-02-09,2026-02-02,2026-01-26,2026-01-19,2026-01-12,2026-01-05,2025-12-29,2025-12-22,2025-12-15,2025-12-08,2025-12-01,2025-11-24,2025-11-17,2025-11-10,2025-11-03,2025-10-27,2025-10-20,2025-10-13,2025-10-06,2025-09-29,2025-09-22,2025-09-15,2025-09-08,2025-09-01,2025-08-25,2025-08-18,2025-08-11,2025-08-08,2025-08-01
Calls Received,17,17,20,16,6,8,18,17,10,16,8,7,16,14,22,30,28,13,28,,,,,,,,,,,,,
WhatsApps Received,13,18,21,11,15,13,14,9,12,9,15,12,7,8,17,14,25,4,6,,,,,,,,,,,,,
