week_start,2026-03-02,2026-02-23,2026-02-16,2026-02-09,2026-02-02,2026-01-26,2026-01-19,2026-01-12,2026-01-05,2025-12-29,2025-12-22,2025-12-15,2025-12-08,2025-12-01,2025-11-24,2025-11-17,2025-11-10,2025-11-03,2025-10-27,2025-10-20,2025-10-13,2025-10-06,2025-09-29,2025-09-22,2025-09-15,2025-09-08,2025-09-01,2025-08-25,2025-08-18,2025-08-11,2025-08-08,2025-08-01
Roads & Infrastructure,0,0,0,2,0,0,2,5,0,0,0,1,1,0,1,0,0,1,3,0,1,,,,,,,,,,,
Water & Sanitation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,,,,,,,,,,,
Electricity,0,0,1,0,0,1,2,5,0,3,0,0,0,2,2,3,0,0,1,1,,,,,,,,,,,,
Parks & Recreation,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Management,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Health,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law Enforcement,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
