category,reference_number,date_logged,request_status,issue_description,service,address
Roads & Infrastructure,9121535909,2026-01-08,Assigned,Road repairs needed at 19 Maynard Street nearest corner Wesley Street,Traffic sign - Damage,19 MAYNARD ST GARDENS GARDENS
Water & Sanitation,9121543376,2026-01-09,Closed,There is water coming out again. Along Roodehek at number 7 Roodehek Street nearest corner Buitenkant,Leak at Fire Hydrant,7 ROODEHEK ST GARDENS GARDENS
Electricity,9121543736,2026-01-09,Closed,"Street lights are not working in Maynard,Glynn,Scott,Buitenkant and Mckenzie street.",Street Lights - All Lights Out,0 MCKENZIE STREET GARDENS GARDENS
Roads & Infrastructure,9121551539,2026-01-12,Closed,Potholes in Roodehek street. Reistatement needed.,Road - Pothole repair,7 ROODEHEK STREET UNKNOWN GARDENS
Electricity,9121556575,2026-01-12,Closed,"Street lights are off at Roodehek,Solan and Wembley Street",Street Lights - All Lights Out,17 CLARE STREET UNKNOWN GARDENS
Water & Sanitation,9121560371,2026-01-13,Closed,Water leak along Wandel street at number 7 nearest Incholm street,Blocked/Overflow,7 WANDEL ST GARDENS GARDENS
Electricity,9121572393,2026-01-15,Closed,"Water leak along Solen,Roodehek and Clair Street",Leak at Valve,0 CORNER ROODEHEK AND SOLAN GARDENS GARDENS
Electricity,9121572386,2026-01-15,Closed,Damaged Meter Box at Annadale and Hatfield Street,S/ Lights - Pole Knocked: MV Accidents,0 CORNER ANNADALE AND HATFIELD GARDENS GARDENS
Waste Management,9121571313,2026-01-14,Closed,In corner of Hope street and Tuin plein dumping need to be collected,Illegal Dumping,0 CORNER HOPE AND TUIN CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Roads & Infrastructure,9121575029,2026-01-15,Closed,Road Reinstatement needed at 7 Courville nearest corner of Hopeville street,Traffic sign - Damage,"7 COURVILLE STREET GARDENS, CAPE TOWN GARDENS"
Waste Management,9121575456,2026-01-15,Closed,Dumping along Courville street nearest corner of Hopeville street,Illegal Dumping,0 CORNER COURVILLE AND HOPEVILLE GARDENS GARDENS
Roads & Infrastructure,9121575545,2026-01-15,Closed,Defect on the pavement along Wandel street nearest corner of Glynville street,Defect Road Foot Bic Way/Kerbs,0 CORNER GLYNVILLE AND WANDEL GARDENS GARDENS
Waste Management,9121580085,2026-01-15,Registered,Corner of Hope and Tuin Plein Street,Health Hazard - Unhygienic disposal of a,0 CORNER HOPE AND TUIN CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Waste Management,9121580095,2026-01-15,Closed,Corner of Roodehek and Buitenkant Street,Health Hazard - Unhygienic disposal of a,0 CORNER BUITENKANT AND ROODEHEK GARDENS GARDENS
Electricity,9121587414,2026-01-16,Closed,"Street lights are off at Roodehek,Solan and Wembley Street,Maynard,Buitenkant,Solan and Scott.",Street Lights - All Lights Out,0 CORNER SCOTT AND SOLAN GARDENS GARDENS
Electricity,9121592691,2026-01-18,Closed,"street lights are not working in Maynard,Scott,Wesley,Buitenkant and Solan street atll these street are dark",Street Lights - All Lights Out,0 CORNER SCOTT AND SOLAN GARDENS GARDENS
Waste Management,9121593223,2026-01-19,Closed,Illegal dumping on the corner of Hope & Tuin Plein street.,Illegal Dumping,27 CAMERON LANE UNKNOWN CAPE TOWN CITY CENTRE
Electricity,9121625191,2026-01-22,Closed,All the lights in Maynard street are not working.,Street Lights - All Lights Out,18 SCOTT STREET UNKNOWN GARDENS
Electricity,9121625857,2026-01-22,Closed,All the lights in Solen and Glynn street are not working.,Street Lights - Single Light Out,0 CORNER GLYNN AND SOLAN GARDENS GARDENS
Electricity,9121625877,2026-01-22,Closed,,Street Lights - All Lights Out,0 BUITENKANT STREET GARDENS GARDENS
Electricity,9121625898,2026-01-22,Closed,All the lights in Buitenkant and Brandweer street are not working.,Street Lights - All Lights Out,0 CORNER GLYNN AND HARRINGTON GARDENS GARDENS
Water & Sanitation,9121631319,2026-01-23,Closed,Water leak in hope street in front of the building number 35Hope street,Leak in Road/Pavement/Undergr,0 HOPE STREET GARDENS GARDENS
Water & Sanitation,9121650443,2026-01-27,Closed,Water leaking in road at appartment building number 20 Wesley street.,Standpipe Damaged/Leaking,20 WESLEY ST GARDENS GARDENS
Roads & Infrastructure,9121651777,2026-01-27,In Progress,Road markings along Barnet Street between Wandel and Vrede Street,Traffic sign - Missing,0 BARNET STREET GARDENS GARDENS
Water & Sanitation,9121653702,2026-01-27,Closed,Sewer water flowing out in the street at number 6 Wandel Street,Blocked/Overflow,4 INCHOLM PLACE UNKNOWN GARDENS
Electricity,9121655617,2026-01-27,Closed,In Maynard street lights are off,Street Lights - Single Light Out,0 CORNER MAYNARD AND UPPER MAYNARD GARDENS GARDENS
Waste Management,9121680442,2026-01-31,Closed,Dumping in corner of Buitenkant street and Wesley street.,Illegal Dumping,0 CORNER BUITENKANT AND WESLEY GARDENS GARDENS
Waste Management,9121679159,2026-01-31,Closed,Dumping in corner of Tuin plein and Hope street.,Illegal Dumping,0 CORNER HOPE AND TUIN CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Water & Sanitation,9121681451,2026-01-31,Closed,Water leaking on a pipe at Mill and Maynard Street,Flooding Road / Property / Informal Sett,0 CORNER MAYNARD AND MILL GARDENS GARDENS
Waste Management,9121682000,2026-02-01,Closed,Dumping in corner of Buitenkant street and Wesley street.,Illegal Dumping,0 CORNER BUITENKANT AND WESLEY GARDENS GARDENS
Waste Management,9121699911,2026-02-03,Closed,Dumping in corner of Bouquet street and St Johns street.,Illegal Dumping,12 BOUQUET ST CAPE TOWN CAPE TOWN
Waste Management,9121699880,2026-02-03,Closed,Dumping in corner of Wandel street and St Johns street.,Illegal Dumping,Unknown WANDEL ST GARDENS GARDENS
Waste Management,9121699857,2026-02-03,Closed,Dumping in corner of Dunkley street and St Johns street.,Illegal Dumping,10 WANDEL STREET GARDENS GARDENS
Waste Management,9121707869,2026-02-04,Closed,Dumping in corner of Hope street and Tuin plein street.,Illegal Dumping,0 CORNER HOPE AND TUIN CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Water & Sanitation,9121716500,2026-02-06,Closed,In corner of Hope street and Incholm street water leakage at Business Village.,Leak in Road/Pavement/Undergr,0 CORNER HOPE AND INCHOLM GARDENS GARDENS
Water & Sanitation,9121726223,2026-02-07,Closed,Water hydrant cover needs to be tightened.,Missing Cover Fire Hydrant,0 CORNER HOPE AND TUIN CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Water & Sanitation,9121737527,2026-02-10,Closed,Leak at fire hydrant in Hope and Roalnd Street,Leak at Fire Hydrant,0 CORNER HOPE AND INCHOLM GARDENS GARDENS
Water & Sanitation,9121740821,2026-02-10,Closed,Infront of building number 6 Wandel street drain need to be fixed.,Blocked/Overflow,6 WANDEL ST GARDENS GARDENS
Water & Sanitation,9121747842,2026-02-11,Closed,Infront of building number 35 Hope street leak need to be fixed,Burst Pipe,35 HOPE ST CAPE TOWN CAPE TOWN
Parks & Recreation,9121748425,2026-02-11,Assigned,"Roots causing defect in the pavement along Wembley Road, nearest corner Clare Street in Gardens",Bush Clearing,6 WEMBLEY ROAD UNKNOWN GARDENS
Roads & Infrastructure,9121748494,2026-02-11,Assigned,"Roots causing defect in the pavement along Wembley Road, nearest corner Clare Street in Gardens",Defect Road Foot Bic Way/Kerbs,"6 WEMBLEY ROAD GARDENS, CAPE TOWN GARDENS"
Roads & Infrastructure,9121750511,2026-02-11,Assigned,Defect in the pavement along Scott street at number 7 nearest corner of Buitenkant street,Defect Road Foot Bic Way/Kerbs,"7 SCOTT STREET GARDENS, CAPE TOWN GARDENS"
Roads & Infrastructure,9121750385,2026-02-11,In Progress,Road reinstatement needed along Roodehek street at number 2 nearest corner of Hope street.,WAT: Re-Instatement after water incident,2 ROODEHEK ST GARDENS GARDENS
Water & Sanitation,9121755690,2026-02-12,Closed,"Water leak at 19 Dunkley place in Gardens, along Wandel Street (opposite tomb tattoo) nearest corner Incholm Place",Burst Pipe,15 DUNKLEY PLACE GARDENS
Traffic,9121756472,2026-02-12,Closed,Illegal ranking along Mill Street outside Jack Hammers and Sloan Square at 173 Buitenkant Street,Illegal Ranking,"173 BUITENKANT STREET GARDENS, CAPE TOWN GARDENS"
Roads & Infrastructure,9121762481,2026-02-13,Closed,The pavement around the water meter has brokendown in corner of Claire street and Roeland street.,Defect Road Foot Bic Way/Kerbs,6 WEMBLEY RD GARDENS GARDENS
Roads & Infrastructure,9121762456,2026-02-13,Closed,The drain cover is broken in corner of Claire street and Roeland street.,Manhole Cover/Gully Grid,0 ROELAND STREET GARDENS GARDENS
Traffic,9121768795,2026-02-13,Closed,Mr Mike 0817412413 phoned in to say that a motorist knocked over a stop sign between Maynard & Roodehek Street.,Traffic sign - Damage,48 MAYNARD STREET UNKNOWN GARDENS
Traffic,1002986824,2026-02-16,Service request completed,Illegal parking on Barnet Street on both sides.,,
Roads & Infrastructure,9121780178,2026-02-16,Closed,Paving needs to be re-instated needed along Buitenkant street at 59 Buitenkant Street nearest corner Roeland Street.,Lowering of Kerbs and Pavements,59 BUITENKANT ST CAPE TOWN CAPE TOWN
Parks & Recreation,9121780226,2026-02-16,Assigned,Dead tree needs to be removed along Glynn Street nearest corner Buitenkant. The closest address is 89 Buitenkant Street,Tree Removal,89 BUITENKANT ST CAPE TOWN CAPE TOWN
Roads & Infrastructure,9121788128,2026-02-17,In Progress,Water reinstatement needed along Glynn Street nearest corner Hope Street. 1 Glynn is the closest address,WAT: Re-Instatement after water incident,1 GLYNN STREET CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Water & Sanitation,9121780291,2026-02-16,Closed,Water leak at Dunkley Square along Barnet Street at number 50 Barnet. Closest corner is Dunkley Square,Leak in Road/Pavement/Undergr,"50 BARNET STREET GARDENS, CAPE TOWN GARDENS"
Traffic,1002988681,2026-02-17,Service request completed,Illegal parking on Barnet Street on both sides.,,
Water & Sanitation,9121792100,2026-02-18,Closed,Water coming underground in corner of Dunkley street and Barnet street.,Burst Pipe,0 CORNER BARNET AND DUNKLEY GARDENS GARDENS
Water & Sanitation,9121795035,2026-02-18,In Progress,Missing cover along Roeland street nearest corner of Buitenkant street.,Missing Cover Fire Hydrant,46 ROELAND ST CAPE TOWN CAPE TOWN
Water & Sanitation,9121794647,2026-02-18,Registered,Missing cover at 35 Hope street nearest corner of Tuin plein street.,Missing Cover Fire Hydrant,0 CORNER HOPE AND TUIN CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Water & Sanitation,9121794491,2026-02-18,Registered,Missing cover at 13 Hope street nearest corner of Bouquet street.,Missing Cover Valve,0 HOPE STREET GARDENS GARDENS
Roads & Infrastructure,9121794402,2026-02-18,Closed,Missing kerb at 46 Roeland street nearest corner of Biutenkant street.,Lowering of Kerbs and Pavements,46 ROELAND ST CAPE TOWN CAPE TOWN
Roads & Infrastructure,9121794215,2026-02-18,Closed,Defect in the pavement at 56 Roeland street nearest corner of Buitenkant street.,Defect Road Foot Bic Way/Kerbs,56 ROELAND TER CAPE TOWN CAPE TOWN
Roads & Infrastructure,9121793973,2026-02-18,Assigned,Bollard need to be replaced at 66 Roeland street nearest corner of Upper Canterbury road.,Bollard/Guard/Handrails,66 ROELAND ST GARDENS GARDENS
Water & Sanitation,9121793660,2026-02-18,Closed,Missing cover along Upper Canterbury street nearest corner of Roeland street,Missing Manhole Cover,100 UPPER CANTERBURY ST GARDENS GARDENS
Roads & Infrastructure,9121793574,2026-02-18,In Progress,Defect in the pavement along Wembley square at number 6 nearest corner of Clare street.,Defect Road Foot Bic Way/Kerbs,6 WEMBLEY RD GARDENS GARDENS
Water & Sanitation,9121793400,2026-02-18,Closed,Blocked drain in corner of Mckenzie street and Wembley street.,Blocked/Overflow,0 CORNER MCKENZIE AND WEMBLEY GARDENS GARDENS
Roads & Infrastructure,9121793360,2026-02-18,Closed,Defect in the road on Wembley road at number 10 corner of Clare street.,Defect Road Foot Bic Way/Kerbs,10 WEMBLEY RD GARDENS GARDENS
Water & Sanitation,9121793318,2026-02-18,Closed,Missing cover along Roodehek street nearest corner of Clare street.,Missing Cover Fire Hydrant,0 CORNER CLARE AND ROODEHEK GARDENS GARDENS
Roads & Infrastructure,9121793002,2026-02-18,Closed,Defect in the road along Roodehek street at number 5 nearest corner of Buitenkant street.,Defect Road Foot Bic Way/Kerbs,5 ROODEHEK ST GARDENS GARDENS
Water & Sanitation,9121792946,2026-02-18,Assigned,Water reinstatement needed at 2 Roodehek street nearest corner of Hope street.,WAT: Re-Instatement after water incident,2 ROODEHEK ST GARDENS GARDENS
Traffic,9121803708,2026-02-19,Closed,Illegal ranking along Mill Street outside Sloan Square at 173 Buitenkant Street,Illegal Ranking,173 BUITENKANT STREET GARDENS GARDENS
Electricity,9121820137,2026-02-22,Closed,"A street light in front of 58 Maynard street, Gardens is not working.",Street Lights - Single Light Out,58 MAYNARD STREET UNKNOWN GARDENS
Waste Management,9121820154,2026-02-22,Closed,Illegal dumping on the corner of Hope & Tuin Plein street.,Illegal Dumping,27 CAMERON LANE UNKNOWN CAPE TOWN CITY CENTRE
Water & Sanitation,9121827354,2026-02-23,Assigned,18 Barnet Street nearest corner nearest corner Gordon Street. Water reinstatement needed,WAT: Re-Instatement after water incident,18 BARNET ST GARDENS GARDENS
Parks & Recreation,9121827394,2026-02-23,Assigned,Tree trimming needed along Buitenkant between Wesley and Glynn Street. Nearest address is 125 Buitenkant,Tree Trimming,85 HOPE STREET CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Water & Sanitation,9121828265,2026-02-23,Assigned,Blocked drain at 25 Hope Street,Blocked Drain,25 HOPE ST CAPE TOWN CAPE TOWN
Waste Management,,2026-02-23,Closed,Law Enforcement issued one warning to a man who dumped sold waiste between Hope & Tuin Plein street.,,
Roads & Infrastructure,9121830034,2026-02-23,Closed,"Defect in the pavement along Barnet Street at number 56, nearest corner Dunkley Street",Defect Road Foot Bic Way/Kerbs,56 BARNET ST GARDENS GARDENS
Roads & Infrastructure,9121829985,2026-02-23,Closed,Defect in the pavement along Wandel Street at 2 Wandel Street nearest corner Vrede Street,Defect Road Foot Bic Way/Kerbs,2 WANDEL ST GARDENS GARDENS
Roads & Infrastructure,9121829627,2026-02-23,Assigned,Road markings needed at Incholm Place nearest corner Wandel Street,Paint Markings Lines & Signs,4 INCHOLM PL GARDENS GARDENS
Roads & Infrastructure,9121829666,2026-02-23,Closed,Road markings needed along Wandel Street between Vrede Street and Glynville Street,Paint Markings Lines & Signs,2 WANDEL ST GARDENS GARDENS
Roads & Infrastructure,9121834664,2026-02-24,Closed,Defect in the pavement at 35 Hope Street nearest corner Tuin Plein,Defect Road Foot Bic Way/Kerbs,12 TUIN PLEIN UNKNOWN CAPE TOWN CITY CENTRE
Roads & Infrastructure,9121838695,2026-02-24,Closed,Defect in the pavement at 75 Riet Lane nearest corner Glynn Street,Defect Road Foot Bic Way/Kerbs,75 RIET LANE CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Waste Management,9121841386,2026-02-25,Closed,Illegal dumping between Hope & Scott street.,Illegal Dumping,115 SCHOONDER STREET GARDENS GARDENS
Water & Sanitation,9121847077,2026-02-25,Closed,Missing survey marker at 1 Glynville Street nearest corner Barnet Street,Missing Cover Valve,1 GLYNN ST CAPE TOWN CAPE TOWN
Water & Sanitation,9121841950,2026-02-25,In Progress,Missing cover along Courville nearest corner Hopeville,Missing Cover Valve,8 HOPEVILLE STREET GARDENS GARDENS
Water & Sanitation,9121858428,2026-02-27,Closed,The drain need to be fixed at Hope street and Mill street next to building 123 Hope street.,Blocked/Overflow,"123 HOPE STREET GARDENS, CAPE TOWN GARDENS"
Water & Sanitation,9121863769,2026-02-27,In Progress,Reinstatement needed ata 9 Vrede street nearest corner of St Johns road,WAT: Re-Instatement after water incident,0 VREDE STREET GARDENS GARDENS
Water & Sanitation,9121863686,2026-02-27,In Progress,Reinstatement needed ata 7 Vrede street nearest corner of St Johns road,WAT: Re-Instatement after water incident,0 VREDE STREET GARDENS GARDENS
Water & Sanitation,9121865964,2026-02-27,Closed,There is water leak in Roeland street next to white house.,Leak in Road/Pavement/Undergr,0 ROELAND STREET GARDENS GARDENS
Water & Sanitation,9121871046,2026-03-01,Closed,There is a blocked drain in hope street next to building number 123 Hope street,Blocked/Overflow,"123 HOPE STREET GARDENS, CAPE TOWN GARDENS"
Water & Sanitation,9121877441,2026-03-02,In Progress,32 Scott Street nearest corner Solan Street. Water reinstatement required,WAT: Re-Instatement after water incident,32 SCOTT ST GARDENS GARDENS
Electricity,9121877437,2026-03-02,Closed,Exposed wires at 23 Scott Street nearest corner Solan Street,Cable Exposed,"23 SCOTT STREET GARDENS, CAPE TOWN GARDENS"
Roads & Infrastructure,9121886703,2026-03-03,In Progress,Defect in the pavement at 10 Tuin Plein nearest corner Hope Street,Defect Road Foot Bic Way/Kerbs,"10 TUIN PLEIN CAPE TOWN CITY CENTRE, CAPE TOWN CAPE TOWN CITY CENTRE"
Roads & Infrastructure,9121886770,2026-03-03,Closed,"Defect in the pavement along the wall at 10 Tuin Plein, nearest corner Hope Street.",Defect Road Foot Bic Way/Kerbs,"10 TUIN PLEIN CAPE TOWN CITY CENTRE, CAPE TOWN CAPE TOWN CITY CENTRE"
Water & Sanitation,9121886806,2026-03-03,In Progress,"Missing cover at 10 Tuin Plein Street, nearest corner Hope Street",Missing Cover Valve,"10 TUIN PLEIN CAPE TOWN CITY CENTRE, CAPE TOWN CAPE TOWN CITY CENTRE"
Roads & Infrastructure,9121886850,2026-03-03,Closed,Request for a loading bay road marking outside 10 Tuin Street nearest corner Hope Street.,Traffic sign - Missing,"10 TUIN PLEIN CAPE TOWN CITY CENTRE, CAPE TOWN CAPE TOWN CITY CENTRE"
Water & Sanitation,9121890462,2026-03-03,In Progress,Water leak at 2A Wesley Street nearest corner Hope Street,Leak at Valve,"2 WESLEY STREET GARDENS, CAPE TOWN GARDENS"
Roads & Infrastructure,9121916276,2026-03-07,In Progress,Defect along the pavement at 2 Scott Street nearest corner Hope Street,Defect Road Foot Bic Way/Kerbs,2 SCOTT ST GARDENS GARDENS
Roads & Infrastructure,9121916282,2026-03-07,Closed,Defect on the pavement at 18A Scott nearest corner Buitenkant,Defect Road Foot Bic Way/Kerbs,18 SCOTT ST GARDENS GARDENS
Water & Sanitation,9121916268,2026-03-07,In Progress,Missing survey marker cover at 18 Scott Street nearest corner Maynard Street,Missing Cover Valve,18 SCOTT ST GARDENS GARDENS
Water & Sanitation,9121916303,2026-03-07,In Progress,Missing survey marker at 19 Maynard Street nearest corner Wesley Street,Missing Cover Valve,"19 MAYNARD STREET GARDENS, CAPE TOWN GARDENS"
Water & Sanitation,9121916309,2026-03-07,Closed,Defect along the pavement at 2 Scott Street nearest corner Hope Street,Missing Cover Valve,5 MAYNARD ST GARDENS GARDENS
Water & Sanitation,9121916315,2026-03-07,In Progress,Missing survey marker at 5 Maynard Street nearest corner Glynn Street,Missing Cover Valve,"5 MAYNARD STREET GARDENS, CAPE TOWN GARDENS"
Water & Sanitation,9121916321,2026-03-07,Assigned,Water reinstatement needed at 118 Harrington Street nearest corner Roeland Street,WAT: Re-Instatement after water incident,118 HARRINGTON ST GARDENS GARDENS
Roads & Infrastructure,9121916328,2026-03-07,Assigned,Defect in the pavement at 62 Roeland Street nearest corner Maynard Street,Defect Road Foot Bic Way/Kerbs,62 ROELAND ST GARDENS GARDENS
Water & Sanitation,9121916260,2026-03-07,Registered,Water leaking from water meter in front of 78 McKenzie Street,Leak on Treated Effluent Meter,78 ROELAND STREET UNKNOWN GARDENS
Parks & Recreation,9121931615,2026-03-10,Assigned,"A request to plant trees along Solan Street, nearest corner Wembley Road",Tree Planting,11 WEMBLEY SQUARE GARDENS
