category,reference_number,date_logged,request_status,issue_description,service,address
Roads & Infrastructure,9121306949,2025-11-26,Assigned,"Defect in pavement next to a drain, in front of 123 Hope street, nearest corner Schoonder street.",Defect Road Foot Bic Way/Kerbs,123 HOPE STREET GARDENS GARDENS
Water & Sanitation,9121307191,2025-11-26,Closed,"Missing water meter cover in front of 115 Schoonder street, nearest corner Mill street.",Missing Cover Valve,115 SCHOONDER STREET GARDENS GARDENS
Roads & Infrastructure,9121307314,2025-11-26,In Progress,"Reinstatement needed in front of 115 Schoonder street, nearest corner Mill street.",SEW:Re-instatement after Sewer Incident,115 SCHOONDER ST GARDENS GARDENS
Water & Sanitation,9121307440,2025-11-26,Closed,"Missing survey marker in front of 68 Maynard street, nearest corner Scott street.",Missing Cover Valve,68 MAYNARD ST GARDENS GARDENS
Roads & Infrastructure,9121312651,2025-11-26,Assigned,Reinstatement of tar on the pavement next to the parking lot along Glynn street.,SEW:Re-instatement after Sewer Incident,90A GLYNN STREET UNKNOWN CAPE TOWN CITY CENTRE
Water & Sanitation,9121319155,2025-11-27,Closed,Missing fire hydrant cover at 27 Hope Street,Missing Cover Fire Hydrant,0 HOPE STREET GARDENS GARDENS
Electricity,9121322154,2025-11-27,Closed,All street light are out,Street Lights - All Lights Out,0 DUNKLEY STREET GARDENS GARDENS
Parks & Recreation,9121322626,2025-11-28,Closed,Tree affecting boundary fence at 106 Buitenkant Street,Tree affecting power supply,106 BUITENKANT ST GARDENS GARDENS
Water & Sanitation,9121325459,2025-11-28,Closed,"Pothole in front of 1 Roodehek street, nearest corner is Hope street.",WAT: Re-Instatement after water incident,1 ROODEHEK ST GARDENS GARDENS
Roads & Infrastructure,9121325593,2025-11-28,Closed,"Defect in road in front of 2 Roodehek street, nearest cornerHope street.",Defect Road Foot Bic Way/Kerbs,2 ROODEHEK ST GARDENS GARDENS
Electricity,9121334128,2025-11-30,Closed,Street light fell and broke at no16 Wembley Road,Street Lights - Single Light Out,16 WEMBLEY RD GARDENS GARDENS
Traffic,9121340252,2025-12-01,Closed,Illegal ranking along Mill Street outside Jack Hammers nearest corner Buitenkant Street,Illegal Ranking,146 BUITENKANT ST GARDENS GARDENS
Waste Management,9121339542,2025-12-01,Closed,Dumping needs to be removed at Dunkely street,Illegal Dumping,12 DUNKLEY ST GARDENS GARDENS
Parks & Recreation,9121339628,2025-12-01,Closed,Trimming tree along Barnet street nearest corner of Dunkley street.,Tree Trimming,12 DUNKLEY ST GARDENS GARDENS
Roads & Infrastructure,9121339810,2025-12-01,Closed,Missing cover along Barnet street nearest corner of Vrede street.,Traffic sign - Damage,32 BARNET ST GARDENS GARDENS
Roads & Infrastructure,9121340008,2025-12-01,Assigned,Defect in the road along Barnet street nearest corner Vrede street.,Defect Road Foot Bic Way/Kerbs,32 BARNET ST GARDENS GARDENS
Parks & Recreation,9121340101,2025-12-01,Closed,Tree needs to be trimmed along St Johns street nearest corner of Vrede street.,Tree Trimming,8 VREDE AVE GARDENS GARDENS
Waste Management,9121340316,2025-12-01,Closed,Rubbish needs to be removed in Hope street nearest corner of Tuin plein street.,Illegal Dumping,27 HOPE ST CAPE TOWN CAPE TOWN
Waste Management,9121340385,2025-12-01,Closed,In Hope street the is umping needs to be cleaned.,Illegal Dumping,27 HOPE ST CAPE TOWN CAPE TOWN
Waste Management,9121340637,2025-12-01,Closed,In corner of Glynn street and Buitenkant street rubbish need to be removed.,Illegal Dumping,0 CORNER BUITENKANT AND GLYNN CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Electricity,9121341681,2025-12-01,Closed,Street lights at Dunkley Square are off. We suspect there is something wrong with the box on the street light labelled 843,Street Lights - All Lights Out,14 WANDEL ST GARDENS GARDENS
Electricity,9121351709,2025-12-02,Closed,All the street lights in lower Gardens are not working,Street Lights - All Lights Out,0 BUITENKANT STREET GARDENS GARDENS
Water & Sanitation,9121354579,2025-12-03,Assigned,Reinstatement needed along Glynn Street at number 1 Glynn Street nearest corner Hope Street,WAT: Re-Instatement after water incident,0 GLYNN STREET GARDENS GARDENS
Water & Sanitation,9121348972,2025-12-02,Closed,Defect in the pavement along Glynn towards Buitenkant. Nearest address 7 Glynn Street,Illegal Ranking,Unknown JACK HAMMER'S HOME IMPROVEMENT & HARDWARE STORE GARDENS GARDENS
